id,context,chars,source_text,translation
"plant.zucchini.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",8,"Zucchini",""
"plant.zucchini.notes","Growing advice for Zucchini. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",217,"Zucchini produces heavily in warm sunny gardens with fertile soil and regular watering. Harvest fruits while still small and tender to encourage continued production. Good airflow helps prevent mildew and pest issues.",""
"plant.green-bean.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",10,"Green Bean",""
"plant.green-bean.notes","Growing advice for Green Bean. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",186,"Green beans grow fast in warm soil with full sun and moderate watering. Picking pods regularly keeps plants productive longer. Avoid planting near onions or garlic which may slow growth.",""
"plant.corn.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",4,"Corn",""
"plant.corn.notes","Growing advice for Corn. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",197,"Corn needs full sun, rich soil, and plenty of space for strong pollination. Planting in blocks instead of rows helps ears fill out properly. Harvest once kernels release a milky juice when pressed.",""
"plant.potato.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",6,"Potato",""
"plant.potato.notes","Growing advice for Potato. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",210,"Potatoes grow best in loose soil with steady moisture and cool roots. Hill soil around stems as plants grow to protect forming tubers from sunlight. Harvest early for tender potatoes or later for storage crops.",""
"plant.broccoli.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",8,"Broccoli",""
"plant.broccoli.notes","Growing advice for Broccoli. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",199,"Broccoli thrives during cooler seasons with rich soil and consistent watering. Harvest the main head before flowers open to encourage side shoots later. Heat stress can cause loose heads and bolting.",""
"plant.cauliflower.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",11,"Cauliflower",""
"plant.cauliflower.notes","Growing advice for Cauliflower. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",179,"Cauliflower prefers cool weather and very steady growing conditions. Keep soil moist and fertile for dense healthy heads. Heat and uneven watering may cause small or loose growth.",""
"plant.cabbage.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",7,"Cabbage",""
"plant.cabbage.notes","Growing advice for Cabbage. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",195,"Cabbage grows best in sunny cool-weather gardens with fertile soil and steady moisture. Heads should feel dense and firm before harvest. Watch for cabbage worms and splitting during rapid growth.",""
"plant.kale.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",4,"Kale",""
"plant.kale.notes","Growing advice for Kale. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",210,"Kale handles cool temperatures extremely well and often tastes sweeter after frost. Harvest outer leaves regularly while the center continues producing. Warm weather may create tougher leaves and pest pressure.",""
"plant.beet.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",4,"Beet",""
"plant.beet.notes","Growing advice for Beet. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",198,"Beets grow quickly in loose fertile soil with regular watering. Both roots and leafy tops are edible and productive throughout the season. Thin seedlings early to allow roots enough room to size up.",""
"plant.radish.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",6,"Radish",""
"plant.radish.notes","Growing advice for Radish. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",193,"Radishes mature quickly in cool weather and loose moist soil. Harvest promptly once roots reach size to avoid woody texture or excessive spice. Crowded plants may struggle to form proper roots.",""
"plant.onion.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",5,"Onion",""
"plant.onion.notes","Growing advice for Onion. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",181,"Onions need full sun and loose soil for healthy bulb development. Reduce watering as bulbs mature to improve storage quality. Harvest once tops naturally fall over and begin drying.",""
"plant.garlic.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",6,"Garlic",""
"plant.garlic.notes","Growing advice for Garlic. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",206,"Garlic grows best when planted in fall and overwintered for larger bulbs. Use rich well-draining soil and avoid overly wet conditions. Harvest once lower leaves brown while upper leaves remain partly green.",""
"plant.pea.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",3,"Pea",""
"plant.pea.notes","Growing advice for Pea. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",185,"Peas thrive in cool weather with steady moisture and support for climbing varieties. Harvest pods while still tender for the best flavor and texture. Heat can quickly reduce production.",""
"plant.pumpkin.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",7,"Pumpkin",""
"plant.pumpkin.notes","Growing advice for Pumpkin. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",207,"Pumpkins require warm temperatures, rich soil, and plenty of growing space. Consistent watering supports larger healthier fruit throughout the season. Harvest once rinds harden and develop deep mature color.",""
"plant.strawberry.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",10,"Strawberry",""
"plant.strawberry.notes","Growing advice for Strawberry. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",215,"Strawberries grow best in sunny areas with rich slightly acidic soil and steady moisture. Mulch helps protect fruit and keeps berries cleaner. Harvest once berries are fully red and fragrant for the sweetest flavor.",""
"plant.watermelon.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",10,"Watermelon",""
"plant.watermelon.notes","Growing advice for Watermelon. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",209,"Watermelons need long warm seasons, rich soil, and plenty of space to spread. Deep watering supports healthy vines and sweeter fruit. Harvest once the underside turns creamy yellow and nearby tendrils dry out.",""
"plant.apple.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",5,"Apple",""
"plant.apple.notes","Growing advice for Apple. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",203,"Apple trees thrive in full sun with strong airflow and well-draining soil. Many varieties need another nearby apple tree for pollination. Harvest once fruits color fully and release easily from branches.",""
"plant.orange.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",6,"Orange",""
"plant.orange.notes","Growing advice for Orange. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",218,"Orange trees prefer warm sunny climates with soil that drains well. Water deeply and allow roots to dry slightly between waterings. Protect young trees from frost and harvest once fruit becomes sweet and fully colored.",""
"plant.lemon.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",5,"Lemon",""
"plant.lemon.notes","Growing advice for Lemon. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",210,"Lemon trees grow best in warm sunny conditions with fast-draining soil. Regular feeding helps maintain healthy leaves and strong fruit production. Harvest lemons once bright yellow, fragrant, and slightly firm.",""
"plant.basil.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",5,"Basil",""
"plant.basil.notes","Growing advice for Basil. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",204,"Basil loves warm weather, rich soil, and steady moisture. Pinching stems often encourages fuller bushier growth throughout the season. Basil pairs especially well near tomatoes and peppers in garden beds.",""
"plant.marigold.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",8,"Marigold",""
"plant.marigold.notes","Growing advice for Marigold. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",215,"Marigolds bloom heavily in sunny spots and are commonly planted beside vegetables. Their bright flowers attract pollinators and may help reduce pest activity nearby. Remove old blooms regularly for longer flowering.",""
"plant.parsley.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",7,"Parsley",""
"plant.parsley.notes","Growing advice for Parsley. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",202,"Parsley grows steadily in rich moist soil with full sun or partial shade. Harvest outer stems first so fresh growth continues from the center. Consistent watering helps leaves stay tender and flavorful.",""
"plant.fennel.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",6,"Fennel",""
"plant.fennel.notes","Growing advice for Fennel. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",198,"Fennel prefers warm sunny gardens with loose fertile soil and even moisture. It grows best with extra space because nearby plants may struggle around it. Harvest bulbs once swollen but still tender.",""
"plant.cilantro.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",8,"Cilantro",""
"plant.cilantro.notes","Growing advice for Cilantro. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",196,"Cilantro grows quickly during cooler weather with light consistent moisture. Harvest leaves often before flowering for the best flavor and longest harvest period. Heat can quickly trigger bolting.",""
"plant.mint.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",4,"Mint",""
"plant.mint.notes","Growing advice for Mint. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",190,"Mint grows aggressively in moist rich soil with partial sun or light shade. Containers help control spreading roots and runners. Frequent harvesting keeps plants full, fresh, and productive.",""
"plant.rosemary.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",8,"Rosemary",""
"plant.rosemary.notes","Growing advice for Rosemary. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",184,"Rosemary thrives in sunny dry conditions with sandy fast-draining soil. Avoid overwatering because roots dislike staying wet. Trim sprigs regularly to encourage compact healthy growth.",""
"plant.thyme.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",5,"Thyme",""
"plant.thyme.notes","Growing advice for Thyme. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",190,"Thyme prefers full sun and slightly dry soil with excellent drainage. Small regular harvests help plants stay compact and aromatic. Too much moisture may weaken flavor and cause root issues.",""
"plant.celery.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",6,"Celery",""
"plant.celery.notes","Growing advice for Celery. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",205,"Celery needs rich soil, cool temperatures, and very steady moisture for crisp stalks. Dry conditions may cause bitterness or hollow stems. Harvest outer stalks first or remove the entire plant once mature.",""
"plant.leek.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",4,"Leek",""
"plant.leek.notes","Growing advice for Leek. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",183,"Leeks grow best in fertile loose soil with consistent watering and full sun. Mounding soil around stems creates longer tender white shanks. Harvest once stalks reach usable thickness.",""
"plant.swiss-chard.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",11,"Swiss Chard",""
"plant.swiss-chard.notes","Growing advice for Swiss Chard. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",198,"Swiss chard handles heat better than many leafy greens and produces for long periods. Harvest outer leaves often while the center continues growing. Consistent watering keeps leaves tender and mild.",""
"plant.bok-choy.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",8,"Bok Choy",""
"plant.bok-choy.notes","Growing advice for Bok Choy. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",177,"Bok choy grows quickly in cool weather with rich moist soil and steady watering. Harvest baby plants early or allow heads to fully mature. Warm temperatures may trigger bolting.",""
"plant.raspberry.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",9,"Raspberry",""
"plant.raspberry.notes","Growing advice for Raspberry. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",200,"Raspberries thrive in sunny areas with rich slightly acidic soil and strong airflow. Pruning old canes each year improves fruit production and plant health. Harvest berries once they pull free easily.",""
"plant.mango.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",5,"Mango",""
"plant.mango.notes","Growing advice for Mango. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",208,"Mango trees love warm frost-free climates with deep well-draining soil and full sun. Young trees benefit from protection against strong wind and cold. Harvest fruit once color deepens and aroma becomes sweet.",""
"plant.peach.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",5,"Peach",""
"plant.peach.notes","Growing advice for Peach. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",199,"Peach trees prefer full sun with well-draining soil and good air circulation. Thinning young fruit produces larger, sweeter peaches. Harvest once fruit softens slightly and releases a rich fragrance.",""
"plant.pear.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",4,"Pear",""
"plant.pear.notes","Growing advice for Pear. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",202,"Pear trees prefer full sun with well-draining soil and good airflow. Many varieties fruit better with a second pear tree nearby for pollination. Harvest while still firm and let them ripen off the tree.",""
"plant.plum.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",4,"Plum",""
"plant.plum.notes","Growing advice for Plum. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",191,"Plum trees grow best in full sun with fertile, well-draining soil. Thinning young fruit produces larger, sweeter plums. Harvest once fruit softens slightly and comes away with a gentle twist.",""
"plant.cherry.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",6,"Cherry",""
"plant.cherry.notes","Growing advice for Cherry. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",170,"Cherry trees love full sun and deep, well-draining soil. Netting helps protect ripening fruit from hungry birds. Harvest once cherries are fully colored, firm, and sweet.",""
"plant.apricot.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",7,"Apricot",""
"plant.apricot.notes","Growing advice for Apricot. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",203,"Apricot trees prefer full sun and thrive where late frosts are rare. Well-draining soil and good airflow keep trees healthy. Harvest once fruit is fragrant, softened, and easily released from the branch.",""
"plant.fig.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",3,"Fig",""
"plant.fig.notes","Growing advice for Fig. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",199,"Fig trees love warm sunny spots with well-draining soil and tolerate some drought. Protect young trees from hard frost in cooler zones. Harvest figs once they soften and droop slightly on the branch.",""
"plant.pomegranate.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",11,"Pomegranate",""
"plant.pomegranate.notes","Growing advice for Pomegranate. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",210,"Pomegranates love hot dry summers with full sun and well-draining soil. Established trees tolerate drought once their roots are deep. Harvest once fruit is deeply colored and makes a metallic sound when tapped.",""
"plant.avocado.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",7,"Avocado",""
"plant.avocado.notes","Growing advice for Avocado. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",179,"Avocado trees need warm frost-free climates with full sun and fast-draining soil. Protect young trees from wind and cold. Harvest while firm and let the fruit soften off the tree.",""
"plant.banana.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",6,"Banana",""
"plant.banana.notes","Growing advice for Banana. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",195,"Banana plants need heat, humidity, and rich moist soil to thrive. Shelter from wind protects their large delicate leaves. Harvest once fruit plumps and rounds, then ripen the bunch off the plant.",""
"plant.grapefruit.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",10,"Grapefruit",""
"plant.grapefruit.notes","Growing advice for Grapefruit. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",198,"Grapefruit trees need warm, frost-free climates with full sun and fast-draining soil. Deep, infrequent watering supports healthy roots. Harvest once fruit is fully colored, heavy, and slightly soft.",""
"plant.mandarin.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",8,"Mandarin",""
"plant.mandarin.notes","Growing advice for Mandarin. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",183,"Mandarin trees thrive in warm sunny spots with well-draining soil. They tolerate container growing better than many citrus. Harvest once fruit is deeply colored and peels away easily.",""
"plant.lime.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",4,"Lime",""
"plant.lime.notes","Growing advice for Lime. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",198,"Lime trees prefer warm frost-free climates with full sun and fast-draining soil. Protect from cold snaps to avoid dropping fruit. Harvest while green and firm for the brightest, most fragrant juice.",""
"plant.grapes.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",6,"Grapes",""
"plant.grapes.notes","Growing advice for Grapes. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",195,"Grapes need full sun, sturdy support, and well-draining soil to thrive. Annual pruning is essential for strong vines and quality fruit. Harvest clusters once fully colored and sweet to the taste.",""
"plant.honeydew.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",8,"Honeydew",""
"plant.honeydew.notes","Growing advice for Honeydew. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",197,"Honeydew melons need long warm seasons, rich soil, and room to spread. Deep watering supports sweeter fruit and healthy vines. Harvest once the rind turns creamy and the blossom end gives slightly.",""
"plant.eggplant.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",8,"Eggplant",""
"plant.eggplant.notes","Growing advice for Eggplant. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",206,"Eggplant loves long stretches of heat with rich soil and steady moisture. Full sun produces the healthiest plants and glossiest fruit. Harvest while skins are firm and shiny for the best texture and flavor.",""
"plant.okra.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",4,"Okra",""
"plant.okra.notes","Growing advice for Okra. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",195,"Okra thrives in hot weather with full sun and well-draining soil. Regular picking keeps pods tender and encourages continued production. Harvest pods while young and small before they turn woody.",""
"plant.sweet-potato.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",12,"Sweet Potato",""
"plant.sweet-potato.notes","Growing advice for Sweet Potato. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",204,"Sweet potatoes thrive in warm loose soil with full sun and room for sprawling vines. They tolerate heat and drought better than most root crops. Harvest before the first frost once tubers reach full size.",""
"plant.blueberry.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",9,"Blueberry",""
"plant.blueberry.notes","Growing advice for Blueberry. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",191,"Blueberries need acidic well-draining soil and full sun to produce well. Mulching helps retain moisture and keep roots cool. Harvest once berries turn fully blue and detach with a gentle tug.",""
"plant.blackberry.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",10,"Blackberry",""
"plant.blackberry.notes","Growing advice for Blackberry. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",202,"Blackberries grow vigorously in sunny spots with rich soil and good airflow. Pruning spent canes each year keeps plants healthy and productive. Harvest once berries turn deep black and pull away easily.",""
"plant.boysenberry.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",11,"Boysenberry",""
"plant.boysenberry.notes","Growing advice for Boysenberry. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",190,"Boysenberries thrive in full sun with rich soil and sturdy support for their trailing canes. Prune old canes yearly to keep plants vigorous. Harvest once berries turn deep purple and soften.",""
"plant.marionberry.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",11,"Marionberry",""
"plant.marionberry.notes","Growing advice for Marionberry. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",206,"Marionberries grow best in full sun with rich, well-draining soil and trellised canes. Regular pruning improves airflow and yield. Harvest once berries are glossy, deep black, and release with a light pull.",""
"plant.mulberry.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",8,"Mulberry",""
"plant.mulberry.notes","Growing advice for Mulberry. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",181,"Mulberries grow vigorously in full sun with room to spread. They fruit heavily with little fuss once established. Harvest once berries turn deep and drop easily with a gentle shake.",""
"plant.gooseberry.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",10,"Gooseberry",""
"plant.gooseberry.notes","Growing advice for Gooseberry. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",174,"Gooseberries prefer cool climates with rich soil and partial to full sun. Good airflow reduces mildew on the dense branches. Harvest once berries soften and reach full color.",""
"plant.currant.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",7,"Currant",""
"plant.currant.notes","Growing advice for Currant. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",192,"Currants thrive in cooler climates with moist, fertile soil and partial shade. Annual pruning keeps plants productive and open. Harvest whole clusters once berries are firm and richly colored.",""
"plant.cranberry.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",9,"Cranberry",""
"plant.cranberry.notes","Growing advice for Cranberry. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",170,"Cranberries need acidic, consistently moist soil and full sun to thrive. They spread as low trailing vines over time. Harvest in fall once berries turn deep red and firm.",""
